order_item_id,order_id,product_id,quantity,unit_price
1,4137,8,4,652.3
2,4363,10,2,974.25
3,921,77,3,2559.59
4,1681,105,1,4959.45
5,2128,148,4,3250.66
6,1638,167,5,4980.53
7,1038,88,4,3820.04
8,4755,192,3,4954.72
9,2628,104,2,4619.03
10,3018,114,5,505.47
11,4508,145,5,3015.1
12,4020,10,5,974.25
13,4437,165,5,1911.42
14,2479,191,3,81.25
15,388,93,2,4958.13
16,632,53,4,4460.35
17,701,178,3,4333.64
18,1826,21,3,651.5
19,3078,67,3,38.18
20,4950,101,3,1667.37
21,538,144,1,2820.22
22,3872,198,5,2584.83
23,3815,85,3,4247.78
24,411,114,4,505.47
25,1681,6,2,958.78
26,4377,128,1,21.76
27,4261,116,2,531.16
28,4659,71,5,337.05
29,3966,123,4,2303.22
30,1814,142,3,2364.31
31,352,52,1,632.53
32,4354,110,2,2168.73
33,835,107,3,1766.94
34,3217,41,5,4586.2
35,4514,193,4,2690.69
36,441,77,5,2559.59
37,1532,98,1,-100.0
38,3573,156,3,150.79
39,1053,58,5,1991.41
40,4827,10,1,974.25
41,3640,193,5,2690.69
42,2425,8,4,652.3
43,123,89,5,1908.68
44,3435,106,3,4109.75
45,4996,160,2,2178.42
46,3204,119,3,1258.26
47,4172,179,3,2927.37
48,3084,137,2,1265.25
49,1226,193,4,2690.69
50,3596,200,5,559.55
51,1252,71,2,337.05
52,4926,155,2,3620.25
53,3226,120,2,3429.48
54,3317,196,5,752.0
55,4747,19,5,1417.95
56,3727,8,5,652.3
57,2962,35,5,4287.16
58,2983,122,3,3402.63
59,1661,8,5,652.3
60,1037,103,3,1731.91
61,1313,156,5,150.79
62,125,93,5,4958.13
63,3360,130,4,3752.98
64,4798,125,3,2865.74
65,4109,56,3,1899.51
66,3323,190,5,4796.02
67,1378,57,3,399.2
68,1340,134,5,883.72
69,4923,81,3,4980.81
70,4782,93,3,4958.13
71,4002,161,5,3635.33
72,1414,67,1,38.18
73,939,150,1,3935.62
74,2422,115,5,2729.37
75,392,153,4,1022.31
76,3540,38,3,2905.17
77,2227,85,1,4247.78
78,1890,68,2,2362.37
79,3607,86,2,637.78
80,1750,65,1,1581.81
81,2872,134,3,883.72
82,249,183,2,4040.56
83,1999,187,3,923.88
84,1849,76,5,1483.57
85,4797,18,1,850.63
86,3741,57,3,399.2
87,1371,59,4,4550.79
88,79,50,4,4506.29
89,626,109,3,4774.93
90,3128,41,1,4586.2
91,341,161,3,3635.33
92,149,40,4,4828.05
93,2721,156,2,150.79
94,1474,79,4,3629.97
95,3214,113,3,1812.1
96,1891,152,5,3907.36
97,2536,112,5,1684.43
98,618,106,5,4109.75
99,3276,130,1,3752.98
100,3159,52,2,632.53
101,1334,171,4,4875.43
102,1240,60,2,555.95
103,3896,113,5,1812.1
104,2289,8,1,652.3
105,4792,31,3,1939.57
106,2916,180,3,3546.06
107,1527,16,5,342.1
108,2480,200,3,559.55
109,3660,175,5,2517.05
110,4915,37,3,760.38
111,163,139,5,1457.29
112,596,123,3,2303.22
113,1258,44,3,3031.07
114,2484,150,5,3935.62
115,743,107,1,1766.94
116,3008,55,2,1111.45
117,2440,61,4,926.94
118,2175,34,3,1016.61
119,2615,144,4,2820.22
120,4858,70,2,319.63
121,1100,61,2,926.94
122,4821,33,1,3398.73
123,931,135,5,2322.77
124,3016,197,5,679.44
125,3850,200,5,559.55
126,3366,118,3,925.76
127,3184,189,1,1682.79
128,3454,113,2,1812.1
129,424,119,1,1258.26
130,1108,173,2,709.76
131,681,23,5,4440.28
132,2992,22,3,4837.29
133,2543,182,3,4162.32
134,1939,184,2,4757.3
135,1751,79,3,3629.97
136,2150,176,2,2176.21
137,212,198,3,2584.83
138,566,33,2,3398.73
139,1989,43,2,4302.52
140,911,137,5,1265.25
141,1998,85,5,4247.78
142,3154,122,5,3402.63
143,1175,131,3,736.05
144,1658,160,5,2178.42
145,2426,73,2,1245.98
146,771,13,1,877.15
147,2501,173,4,709.76
148,3614,109,2,4774.93
149,4215,6,2,958.78
150,4400,55,3,1111.45
151,2802,91,5,2663.66
152,4022,120,1,3429.48
153,4852,125,3,2865.74
154,1123,20,5,3610.26
155,4527,114,2,505.47
156,4243,121,3,4483.51
157,1945,5,2,2168.56
158,2799,174,5,2212.47
159,4175,18,2,850.63
160,2471,116,5,531.16
161,2768,118,3,925.76
162,324,138,3,294.5
163,2408,199,5,-100.0
164,1343,107,3,1766.94
165,4383,97,5,369.16
166,1982,104,5,4619.03
167,476,79,3,3629.97
168,1727,104,5,4619.03
169,4242,83,3,2379.2
170,219,85,5,4247.78
171,1740,139,3,1457.29
172,328,76,5,1483.57
173,261,195,3,464.65
174,420,185,4,2653.6
175,1374,182,2,4162.32
176,2791,30,1,3615.52
177,1702,125,2,2865.74
178,3188,103,4,1731.91
179,1083,14,1,3668.31
180,4661,71,3,337.05
181,960,103,3,1731.91
182,1009,168,1,4864.91
183,4398,80,2,226.32
184,601,71,3,337.05
185,3066,123,2,2303.22
186,3999,4,5,1525.07
187,1462,126,1,4251.51
188,1594,110,5,2168.73
189,2371,62,1,729.82
190,4414,33,4,3398.73
191,3011,82,1,3629.13
192,2098,19,3,1417.95
193,2317,174,3,2212.47
194,2985,71,4,337.05
195,4610,44,5,3031.07
196,3963,48,3,1200.53
197,1710,30,4,3615.52
198,3310,101,5,1667.37
199,1497,139,2,1457.29
200,2497,103,1,1731.91
201,1678,33,5,3398.73
202,2284,122,3,3402.63
203,3008,117,3,4072.16
204,3942,52,4,632.53
205,2533,133,5,1348.28
206,4437,151,4,3524.16
207,2526,1,4,1748.2
208,3967,168,4,4864.91
209,2118,13,3,877.15
210,1652,34,5,1016.61
211,1268,4,3,1525.07
212,1696,192,4,4954.72
213,2834,126,4,4251.51
214,1289,125,4,2865.74
215,35,199,3,-100.0
216,1729,83,1,2379.2
217,502,163,4,3906.47
218,1806,185,4,2653.6
219,4988,32,5,-100.0
220,216,136,2,3716.48
221,4886,36,4,2718.05
222,4343,83,4,2379.2
223,3011,183,1,4040.56
224,4724,168,3,4864.91
225,2342,158,2,-100.0
226,2631,73,2,1245.98
227,1712,110,5,2168.73
228,813,140,2,2104.99
229,2524,17,5,129.68
230,1978,6,3,958.78
231,4380,4,1,1525.07
232,2680,195,5,464.65
233,4100,72,2,2818.18
234,4272,146,1,4802.01
235,4673,41,2,4586.2
236,4141,137,4,1265.25
237,4574,184,2,4757.3
238,3583,119,2,1258.26
239,2372,25,5,4873.2
240,402,154,2,1864.28
241,3372,4,2,1525.07
242,1814,95,2,1719.44
243,3557,126,2,4251.51
244,4694,116,5,531.16
245,1961,96,4,4329.81
246,4353,93,1,4958.13
247,578,48,5,1200.53
248,2974,143,2,3081.45
249,1740,139,3,1457.29
250,4426,81,2,4980.81
251,2448,106,5,4109.75
252,1648,135,5,2322.77
253,457,114,2,505.47
254,2787,36,4,2718.05
255,228,148,3,3250.66
256,4606,84,2,4737.36
257,1850,77,5,2559.59
258,1376,153,2,1022.31
259,4159,113,4,1812.1
260,2699,74,2,1267.56
261,2747,70,3,319.63
262,230,108,5,4466.42
263,2150,50,3,4506.29
264,1575,196,5,752.0
265,118,146,1,4802.01
266,1632,125,5,2865.74
267,1391,151,5,3524.16
268,1272,51,5,560.49
269,4783,200,4,559.55
270,4242,89,1,1908.68
271,3492,183,5,4040.56
272,182,33,1,3398.73
273,545,92,4,336.66
274,3606,26,5,369.95
275,3169,194,3,2886.29
276,5000,99,5,520.25
277,3462,72,3,2818.18
278,3658,146,4,4802.01
279,290,93,5,4958.13
280,3115,190,3,4796.02
281,3936,87,4,1745.57
282,3364,156,2,150.79
283,4251,90,3,3801.92
284,4141,148,4,3250.66
285,2159,15,4,4357.17
286,3852,195,1,464.65
287,3296,41,5,4586.2
288,1585,6,3,958.78
289,803,15,4,4357.17
290,3891,43,3,4302.52
291,2603,67,1,38.18
292,4189,112,4,1684.43
293,598,38,5,2905.17
294,4017,116,1,531.16
295,1044,21,3,651.5
296,132,60,4,555.95
297,3867,144,1,2820.22
298,4523,16,5,342.1
299,2192,80,4,226.32
300,4565,28,5,3057.52
301,2058,58,4,1991.41
302,2126,199,5,-100.0
303,2438,46,5,1952.31
304,1808,154,5,1864.28
305,1988,57,3,399.2
306,2302,74,5,1267.56
307,4272,159,2,169.47
308,1581,150,1,3935.62
309,2024,189,1,1682.79
310,2548,198,1,2584.83
311,2863,100,3,4795.38
312,3692,80,4,226.32
313,4687,35,5,4287.16
314,4701,133,3,1348.28
315,450,154,4,1864.28
316,3419,21,2,651.5
317,4156,197,4,679.44
318,4879,191,5,81.25
319,4249,16,4,342.1
320,962,195,3,464.65
321,255,167,4,4980.53
322,4165,148,4,3250.66
323,4303,121,3,4483.51
324,4265,110,4,2168.73
325,637,157,4,1928.55
326,2255,1,5,1748.2
327,804,194,1,2886.29
328,3088,175,1,2517.05
329,3044,26,5,369.95
330,3548,179,3,2927.37
331,4688,165,5,1911.42
332,2725,12,2,4862.4
333,908,38,5,2905.17
334,3014,27,1,948.7
335,2723,154,3,1864.28
336,2691,100,2,4795.38
337,3386,121,2,4483.51
338,4501,195,3,464.65
339,3470,174,5,2212.47
340,2013,182,3,4162.32
341,1973,178,1,4333.64
342,3603,15,1,4357.17
343,3676,158,3,-100.0
344,4459,97,5,369.16
345,3528,93,5,4958.13
346,970,121,3,4483.51
347,3649,194,2,2886.29
348,3947,156,1,150.79
349,3047,165,3,1911.42
350,2519,121,4,4483.51
351,2922,60,2,555.95
352,2294,58,5,1991.41
353,755,140,3,2104.99
354,3181,20,2,3610.26
355,2697,167,3,4980.53
356,4888,106,2,4109.75
357,4573,200,4,559.55
358,2683,148,3,3250.66
