order_id,customer_id,order_date,status
1,910,2026-04-19,Returned
2,933,2024-09-19,Cancelled
3,81,2025-06-15,Returned
4,608,2024-08-23,Completed
5,668,2025-05-26,Completed
6,982,2025-07-03,Returned
7,938,2025-06-22,Cancelled
8,150,2025-09-16,Returned
9,298,2026-06-13,Cancelled
10,821,2025-02-11,Completed
11,786,2025-08-02,Cancelled
12,924,2026-05-16,Completed
13,157,2024-09-27,Returned
14,321,2024-12-08,Completed
15,120,2024-12-11,Completed
16,787,2024-07-13,Returned
17,301,2026-04-01,Pending
18,79,2024-07-21,Pending
19,419,2024-10-23,Cancelled
20,371,2024-11-30,Cancelled
21,432,2025-04-16,Completed
22,436,2024-08-17,Pending
23,528,2025-12-29,Completed
24,264,2025-06-10,Pending
25,856,2025-11-08,Pending
26,195,2025-12-06,Returned
27,32,2025-05-26,Pending
28,240,2025-01-01,Returned
29,312,2024-12-26,Returned
30,830,2026-05-17,Returned
31,71,2025-04-23,Cancelled
32,764,2026-06-07,Returned
33,194,2025-07-03,Cancelled
34,361,2026-06-05,Completed
35,485,2024-11-05,Pending
36,163,2024-12-26,Returned
37,967,2025-02-13,Cancelled
38,675,2026-01-14,Completed
39,683,2025-12-20,Pending
40,265,2026-03-30,Cancelled
41,349,2024-11-26,Cancelled
42,889,2024-08-16,Cancelled
43,49,2025-09-16,Completed
44,199,2024-10-28,Cancelled
45,441,2026-04-18,Pending
46,254,2025-08-24,Pending
47,568,2025-07-16,Pending
48,389,2024-08-25,Cancelled
49,106,2026-03-25,Cancelled
50,497,2025-07-03,Returned
51,254,2025-02-04,Pending
52,840,2024-08-19,Returned
53,370,2025-01-14,Cancelled
54,341,2024-09-14,Pending
55,502,2025-02-06,Returned
56,90,2024-06-27,Returned
57,11,2026-05-12,Returned
58,259,2026-05-14,Pending
59,295,2025-04-30,Cancelled
60,182,2024-07-04,Cancelled
61,647,2026-01-12,Cancelled
62,297,2025-09-11,Pending
63,27,2026-01-11,Returned
64,509,2025-01-03,Cancelled
65,583,2025-04-01,Pending
66,654,2025-03-07,Returned
67,413,2024-11-15,Cancelled
68,300,2025-05-27,Pending
69,230,2025-11-24,Pending
70,176,2026-01-07,Pending
71,463,2025-01-01,Pending
72,677,2026-04-24,Pending
73,139,2024-10-23,Pending
74,430,2026-03-22,Cancelled
75,450,2026-05-05,Completed
76,908,2025-01-07,Completed
77,535,2024-06-27,Completed
78,770,2025-08-09,Returned
79,25,2026-01-22,Cancelled
80,758,2025-01-26,Cancelled
81,247,2026-02-20,Pending
82,265,2026-03-26,Cancelled
83,772,2025-05-24,Cancelled
84,523,2024-08-07,Cancelled
85,192,2026-01-28,Cancelled
86,299,2025-09-01,Returned
87,981,2026-05-12,Cancelled
88,275,2026-06-01,Completed
89,196,2026-04-03,Pending
90,934,2025-08-07,Completed
91,674,2025-03-22,Cancelled
92,276,2025-06-30,Pending
93,349,2024-12-23,Cancelled
94,90,2025-06-18,Cancelled
95,108,2024-10-09,Returned
96,270,2024-10-10,Completed
97,481,2025-03-14,Returned
98,924,2026-01-23,Cancelled
99,163,2024-07-14,Completed
100,44,2024-09-25,Returned
101,902,2024-09-30,Returned
102,400,2025-07-10,Completed
103,361,2024-09-15,Cancelled
104,637,2024-11-11,Completed
105,543,2026-04-29,Returned
106,119,2025-05-26,Returned
107,209,2024-11-22,Cancelled
108,578,2026-05-12,Cancelled
109,279,2024-09-19,Cancelled
110,633,2025-11-04,Completed
111,610,2025-09-29,Pending
112,105,2024-12-14,Cancelled
113,480,2025-03-30,Cancelled
114,379,2024-12-25,Pending
115,463,2025-08-08,Completed
116,249,2025-05-07,Pending
117,180,2025-04-25,Pending
118,634,2026-05-25,Completed
119,702,2026-05-19,Pending
120,228,2025-01-21,Completed
121,811,2026-02-21,Cancelled
122,326,2025-07-23,Completed
123,936,2025-05-26,Pending
124,354,2025-12-01,Completed
125,606,2026-04-10,Returned
126,135,2025-06-10,Completed
127,61,2025-12-17,Returned
128,607,2025-01-07,Completed
129,946,2024-09-22,Pending
130,296,2025-09-08,Pending
131,244,2025-08-02,Cancelled
132,468,2026-04-04,Pending
133,382,2025-08-23,Cancelled
134,921,2026-04-10,Cancelled
135,388,2025-08-20,Completed
136,634,2025-04-01,Completed
137,591,2025-04-05,Returned
138,236,2024-07-26,Returned
139,571,2025-03-21,Cancelled
140,51,2025-08-20,Pending
141,34,2026-04-14,Returned
142,94,2025-02-03,Returned
143,665,2026-02-06,Completed
144,636,2024-11-17,Cancelled
145,955,2025-06-27,Pending
146,247,2025-12-25,Completed
147,382,2024-08-19,Pending
148,253,2025-10-22,Cancelled
149,845,2025-10-23,Pending
150,918,2024-12-30,Pending
151,504,2026-04-18,Completed
152,474,2024-09-20,Cancelled
153,670,2026-06-18,Cancelled
154,365,2026-05-31,Cancelled
155,541,2025-01-10,Cancelled
156,676,2025-04-27,Cancelled
157,612,2025-02-23,Returned
158,38,2025-02-23,Returned
159,988,2025-03-02,Completed
160,430,2026-05-19,Cancelled
161,826,2024-10-29,Completed
162,463,2025-04-09,Completed
163,306,2026-03-26,Completed
164,596,2026-03-28,Cancelled
165,977,2026-01-20,Cancelled
166,654,2026-03-15,Returned
167,413,2024-11-12,Returned
168,973,2026-02-11,Completed
169,180,2026-02-12,Returned
170,178,2024-12-10,Completed
171,328,2025-01-06,Cancelled
172,349,2025-06-10,Cancelled
173,211,2025-04-01,Completed
174,344,2024-08-27,Cancelled
175,988,2024-11-04,Cancelled
176,615,2025-08-18,Completed
177,321,2025-12-16,Returned
178,682,2025-12-16,Returned
179,260,2024-07-03,Returned
180,9,2024-10-23,Cancelled
181,792,2025-11-03,Pending
182,560,2024-11-13,Cancelled
183,534,2025-11-21,Pending
184,788,2026-02-03,Cancelled
185,647,2025-11-22,Cancelled
186,113,2025-04-04,Pending
187,742,2025-04-07,Returned
188,287,2025-07-10,Completed
189,214,2024-10-02,Cancelled
190,70,2025-01-18,Returned
191,299,2026-04-18,Returned
192,398,2024-08-21,Cancelled
193,988,2024-10-23,Completed
194,185,2026-05-03,Pending
195,725,2024-09-21,Cancelled
196,519,2024-06-27,Returned
197,401,2025-12-01,Pending
198,203,2025-12-08,Cancelled
199,458,2024-10-18,Cancelled
200,113,2026-04-02,Pending
201,549,2026-04-19,Pending
202,399,2024-07-31,Completed
203,876,2025-12-03,Returned
204,89,2025-03-01,Completed
205,380,2025-01-17,Cancelled
206,446,2024-07-18,Pending
207,78,2025-09-26,Completed
208,73,2025-03-15,Returned
209,760,2024-12-29,Returned
210,485,2024-07-14,Cancelled
211,644,2026-01-19,Returned
212,309,2025-01-08,Pending
213,325,2025-02-25,Cancelled
214,511,2026-05-17,Cancelled
215,67,2026-02-10,Returned
216,592,2025-10-26,Cancelled
217,128,2026-01-11,Pending
218,488,2024-12-30,Completed
219,825,2025-12-15,Returned
220,607,2025-04-27,Pending
221,877,2025-03-04,Cancelled
222,362,2025-03-29,Pending
223,285,2024-10-13,Pending
224,229,2025-07-13,Pending
225,587,2025-11-25,Pending
226,155,2026-01-22,Returned
227,385,2025-08-21,Cancelled
228,552,2024-11-30,Returned
229,610,2025-12-01,Pending
230,608,2026-04-06,Pending
231,459,2026-03-26,Completed
232,277,2026-04-29,Completed
233,493,2025-08-30,Returned
234,389,2025-02-22,Cancelled
235,607,2025-02-28,Pending
236,137,2025-08-13,Pending
237,186,2025-10-03,Cancelled
238,397,2025-06-03,Cancelled
239,546,2026-01-10,Returned
240,229,2025-04-21,Returned
241,506,2025-11-11,Cancelled
242,470,2024-11-11,Cancelled
243,46,2026-06-21,Cancelled
244,120,2025-01-27,Completed
245,803,2025-01-16,Returned
246,794,2025-12-25,Cancelled
247,422,2025-12-25,Completed
248,657,2025-08-27,Returned
249,404,2026-01-01,Pending
250,556,2025-01-08,Returned
251,399,2025-05-24,Returned
252,544,2025-07-24,Completed
253,92,2025-12-17,Pending
254,420,2025-01-07,Completed
255,203,2025-08-02,Returned
256,654,2025-06-23,Returned
257,536,2025-01-26,Returned
258,597,2025-02-20,Returned
259,264,2024-11-27,Returned
